"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:38:32.2002845","3uTools.exe","2396","QueryStandardInformationFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","AllocationSize: 16 384, EndOfFile: 13 312, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:38:32.2002956","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.2003339","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","Offset: 0, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2171374","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.2172707","3uTools.exe","2396","CloseFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS",""
"20:38:32.2181482","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","Image Base: 0x6a980000, Image Size: 0xc000"
"20:38:32.2182602","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","Offset: 10 752, Length: 1 024, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2190634","3uTools.exe","2396","Load Image","C:\WINDOWS\system32\msvcrt.dll","SUCCESS","Image Base: 0x77c10000, Image Size: 0x58000"
"20:38:32.2192891","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\d3d11.dll","SUCCESS","Offset: 10 240, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2197408","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","CreationTime: 2026.06.02 21:54:46, LastAccessTime: 2026.06.07 21:52:21, LastWriteTime: 2026.06.07 20:51:42, ChangeTime: 2026.06.07 20:51:42, AllocationSize: 16 384, EndOfFile: 13 312, FileAttributes: A"
"20:38:32.2200875","3uTools.exe","2396","CreateFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:38:32.2202535","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"20:38:32.2202736","3uTools.exe","2396","QueryStandardInformationFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","AllocationSize: 16 384, EndOfFile: 13 312, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:38:32.2202929","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.2203253","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","Offset: 0, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2314339","3uTools.exe","2396","CreateFileMapping","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","SyncType: SyncTypeOther"
"20:38:32.2315943","3uTools.exe","2396","CloseFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS",""
"20:38:32.2319323","3uTools.exe","2396","Load Image","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","Image Base: 0x64a40000, Image Size: 0xc000"
"20:38:32.2319812","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","Offset: 10 752, Length: 1 024, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2432994","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\dxgi.dll","SUCCESS","Offset: 10 240, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2434908","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 3 372 544, Length: 4 096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2437207","3uTools.exe","2396","ReadFile","C:\Program Files\3uToolsV3\x86\Qt5Gui.dll","SUCCESS","Offset: 5 412 352, Length: 15 872, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"20:38:32.2441316","3uTools.exe","2396","QueryOpen","C:\Program Files\3uToolsV3\x86\Qt5Core.dll","SUCCESS","CreationTime: 2026.06.07 19:05:50, LastAccessTime: 2026.06.07 20:54:37, LastWriteTime: 2026.06.07 19:08:18, ChangeTime: 2026.06.07 19:08:18, AllocationSize: 4 968 448, EndOfFile: 4 967 936, FileAttributes: A"
